º€«œ¿œ,gesture,real,LR,match,FA1,FA2,FA3,FA4,FA5,FD1,FD2,FD3,FD4,FD5,HA1,HA2,HA3,HA4,HA5,result1,result2,result3,result4,result5
16,2,2,R,TRUE,2.924,0.344,0.861,0.81,0.916,2.13,1.1,0.837,0.838,1.25,0.286,3.003,2.153,2.252,2.261,1,0,0,0,0
17,3,3,R,TRUE,2.881,2.964,1.35,1.317,1.357,2.037,2.283,1.401,1.333,1.481,0.073,0.34,2.172,2.147,2.065,1,1,0,0,0
18,4,4,R,TRUE,2.897,3.071,3.041,0.944,0.776,1.909,2.247,2.257,1.193,1.085,0.016,0.153,0.235,2.324,2.393,1,1,1,0,0
19,5,5,R,TRUE,3.104,3.025,3.021,3.053,1.386,2.008,2.231,2.105,2.247,1.699,0.182,0.178,0.092,0.147,1.982,1,1,1,1,0
20,6,6,R,TRUE,2.972,3.041,2.912,2.949,2.984,2.002,2.158,2.175,2.194,2.246,0.337,0.161,0.117,0.165,0.162,1,1,1,1,1
21,7,7,R,TRUE,2.027,3.042,3.118,3.06,3.008,0.676,2.27,2.256,2.354,2.216,1.266,0.19,0.12,0.155,0.071,0,1,1,1,1
22,8,8,R,TRUE,2.405,1.368,3.004,3.12,2.929,1.078,1.505,2.331,2.195,2.233,0.937,1.654,0.152,0.065,0.183,0,0,1,1,1
23,9,9,R,TRUE,2.467,0.715,0.564,3.028,3.027,0.815,0.922,0.724,2.063,2.185,0.938,2.149,2.16,0.074,0.132,0,0,0,1,1
24,10,10,R,TRUE,2.352,0.723,1.154,1.052,2.851,0.816,0.837,1.506,1.409,2.167,1.12,2.252,2.417,2.53,0.279,0,0,0,0,1
25,11,11,R,TRUE,2.326,3.057,3.037,1.117,1.236,0.756,2.18,2.134,1.339,1.412,1.091,0.056,0.098,2.044,1.952,0,1,1,0,0
26,12,12,R,TRUE,3.119,2.93,1.196,1.201,2.812,2.06,2.336,1.656,1.565,2.157,0.416,0.375,2.667,2.495,0.224,1,1,0,0,1
27,13,13,R,TRUE,2.61,3.037,1.584,1.565,1.603,0.907,2.166,1.68,1.677,2.094,0.712,0.333,1.976,2.146,2.146,0,1,0,0,0
28,11,14,R,FALSE,2.282,3.046,3.101,1.283,1.423,0.806,2.501,2.511,1.114,1.466,1.194,0.078,0.07,1.36,1.817,0,1,1,1,0
29,1,1,R,TRUE,1.97,0.733,0.866,0.559,0.114,1.259,0.718,0.804,0.613,0.396,1.373,2.129,2.195,2.524,2.933,0,0,0,0,0
30,2,2,R,TRUE,2.956,0.4,0.924,0.653,0.421,2.105,1.019,0.985,0.831,0.796,0.261,2.987,2.321,2.625,2.652,1,0,0,0,0
31,3,3,R,TRUE,2.849,2.939,1.419,1.408,1.703,2.033,2.305,1.29,1.252,1.625,0.096,0.391,2.178,2.129,2.081,1,1,0,0,0
32,4,4,R,TRUE,2.932,3.083,3.056,1.01,0.84,1.741,2.155,2.29,1.315,1.082,0.062,0.129,0.254,2.22,2.148,1,1,1,0,0
33,5,5,R,TRUE,2.969,2.994,3.042,3.107,1.383,1.98,2.175,2.125,2.258,1.206,0.056,0.131,0.09,0.067,1.316,1,1,1,1,0
34,6,6,R,TRUE,3,3.001,2.865,2.936,3.009,2.027,2.188,2.205,2.209,2.287,0.299,0.163,0.12,0.171,0.18,1,1,1,1,1
35,7,7,R,TRUE,2.025,3.052,3.097,3.032,3.047,0.735,2.245,2.236,2.384,2.188,1.273,0.182,0.116,0.201,0.116,0,1,1,1,1
36,8,8,R,TRUE,2.38,1.315,3.004,3.109,2.938,0.914,1.566,2.283,2.181,2.175,0.993,1.771,0.15,0.06,0.118,0,0,1,1,1
37,9,9,R,TRUE,2.422,0.69,0.696,2.943,3.072,0.834,0.956,1.043,1.94,2.153,0.981,2.258,2.397,0.071,0.092,0,0,0,1,1
38,10,10,R,TRUE,2.253,0.908,1.101,0.882,2.988,0.833,1.105,1.435,1.08,2.074,1.289,2.253,2.373,2.239,0.24,0,0,0,0,1
39,11,11,R,TRUE,2.379,3.081,3.073,1.014,1.299,0.921,2.189,2.158,1.156,1.433,0.989,0.068,0.039,1.738,1.79,0,1,1,0,0
40,12,12,R,TRUE,3.121,2.897,1.33,1.341,2.773,2.001,2.4,1.869,1.787,2.147,0.395,0.353,2.686,2.502,0.216,1,1,0,0,1
